Settlement;Date;ContractName
48,57;03.01.2011;Q2-2012
48,55;04.01.2011;Q2-2012
48,06;05.01.2011;Q2-2012
48,68;06.01.2011;Q2-2012
49,5;07.01.2011;Q2-2012
49,77;10.01.2011;Q2-2012
50,15;11.01.2011;Q2-2012
50,05;12.01.2011;Q2-2012
49,34;13.01.2011;Q2-2012
48,75;14.01.2011;Q2-2012
48,12;17.01.2011;Q2-2012
47,88;18.01.2011;Q2-2012
47,68;19.01.2011;Q2-2012
47,33;20.01.2011;Q2-2012
47,78;21.01.2011;Q2-2012
47,59;24.01.2011;Q2-2012
47,08;25.01.2011;Q2-2012
47,67;26.01.2011;Q2-2012
47,7;27.01.2011;Q2-2012
47,55;28.01.2011;Q2-2012
48,04;31.01.2011;Q2-2012
48,51;01.02.2011;Q2-2012
48,84;02.02.2011;Q2-2012
49,27;03.02.2011;Q2-2012
48,59;04.02.2011;Q2-2012
48,15;07.02.2011;Q2-2012
47,66;08.02.2011;Q2-2012
47,59;09.02.2011;Q2-2012
47,85;10.02.2011;Q2-2012
48,04;11.02.2011;Q2-2012
48,05;14.02.2011;Q2-2012
48,17;15.02.2011;Q2-2012
47,98;16.02.2011;Q2-2012
48,51;17.02.2011;Q2-2012
48,69;18.02.2011;Q2-2012
49,77;21.02.2011;Q2-2012
49,9;22.02.2011;Q2-2012
49,71;23.02.2011;Q2-2012
49,5;24.02.2011;Q2-2012
49,25;25.02.2011;Q2-2012
49,52;28.02.2011;Q2-2012
49,18;01.03.2011;Q2-2012
49,16;02.03.2011;Q2-2012
49,39;03.03.2011;Q2-2012
49,91;04.03.2011;Q2-2012
50,5;07.03.2011;Q2-2012
49,61;08.03.2011;Q2-2012
49,88;09.03.2011;Q2-2012
49,67;10.03.2011;Q2-2012
49,38;11.03.2011;Q2-2012
50,79;14.03.2011;Q2-2012
53,96;15.03.2011;Q2-2012
53,1;16.03.2011;Q2-2012
52,13;17.03.2011;Q2-2012
52,8;18.03.2011;Q2-2012
52,9;21.03.2011;Q2-2012
53,16;22.03.2011;Q2-2012
54,14;23.03.2011;Q2-2012
53,42;24.03.2011;Q2-2012
53,93;25.03.2011;Q2-2012
54,7;28.03.2011;Q2-2012
55,41;29.03.2011;Q3-2012
54,71;30.03.2011;Q3-2012
55,62;31.03.2011;Q3-2012
56,18;01.04.2011;Q3-2012
56,63;04.04.2011;Q3-2012
56,22;05.04.2011;Q3-2012
56,37;06.04.2011;Q3-2012
55,47;07.04.2011;Q3-2012
55,88;08.04.2011;Q3-2012
55,03;11.04.2011;Q3-2012
54,31;12.04.2011;Q3-2012
53,93;13.04.2011;Q3-2012
54,29;14.04.2011;Q3-2012
54,8;15.04.2011;Q3-2012
54,6;18.04.2011;Q3-2012
53,76;19.04.2011;Q3-2012
54,5;20.04.2011;Q3-2012
54,9;21.04.2011;Q3-2012
53,85;26.04.2011;Q3-2012
54,46;27.04.2011;Q3-2012
55,25;28.04.2011;Q3-2012
55,02;29.04.2011;Q3-2012
55,55;02.05.2011;Q3-2012
55,19;03.05.2011;Q3-2012
55,14;04.05.2011;Q3-2012
54,44;05.05.2011;Q3-2012
53,81;06.05.2011;Q3-2012
54,29;09.05.2011;Q3-2012
54,5;10.05.2011;Q3-2012
54,73;11.05.2011;Q3-2012
54,49;12.05.2011;Q3-2012
55,24;13.05.2011;Q3-2012
54,98;16.05.2011;Q3-2012
54,55;17.05.2011;Q3-2012
54,64;18.05.2011;Q3-2012
55,06;19.05.2011;Q3-2012
54,7;20.05.2011;Q3-2012
54,25;23.05.2011;Q3-2012
54,53;24.05.2011;Q3-2012
54,23;25.05.2011;Q3-2012
54,71;26.05.2011;Q3-2012
55,39;27.05.2011;Q3-2012
56,65;30.05.2011;Q3-2012
56,11;31.05.2011;Q3-2012
55,74;01.06.2011;Q3-2012
55,74;02.06.2011;Q3-2012
55,2;03.06.2011;Q3-2012
55,33;06.06.2011;Q3-2012
55,59;07.06.2011;Q3-2012
55,36;08.06.2011;Q3-2012
55,48;09.06.2011;Q3-2012
55,6;10.06.2011;Q3-2012
56,04;14.06.2011;Q3-2012
55,76;15.06.2011;Q3-2012
55,4;16.06.2011;Q3-2012
54,96;17.06.2011;Q3-2012
54,18;20.06.2011;Q3-2012
53,4;21.06.2011;Q3-2012
53,7;22.06.2011;Q3-2012
52,59;23.06.2011;Q3-2012
52,63;24.06.2011;Q3-2012
51,7;27.06.2011;Q3-2012
61,19;28.06.2011;Q4-2012
60,55;29.06.2011;Q4-2012
61,12;30.06.2011;Q4-2012
61,23;01.07.2011;Q4-2012
61,5;04.07.2011;Q4-2012
62,17;05.07.2011;Q4-2012
61,75;06.07.2011;Q4-2012
62,57;07.07.2011;Q4-2012
62,02;08.07.2011;Q4-2012
61,41;11.07.2011;Q4-2012
61,46;12.07.2011;Q4-2012
61,44;13.07.2011;Q4-2012
61,55;14.07.2011;Q4-2012
61,56;15.07.2011;Q4-2012
61,26;18.07.2011;Q4-2012
61,64;19.07.2011;Q4-2012
61,88;20.07.2011;Q4-2012
62,14;21.07.2011;Q4-2012
61,96;22.07.2011;Q4-2012
61,87;25.07.2011;Q4-2012
61,86;26.07.2011;Q4-2012
61,59;27.07.2011;Q4-2012
62,03;28.07.2011;Q4-2012
61,62;29.07.2011;Q4-2012
62,24;01.08.2011;Q4-2012
61,67;02.08.2011;Q4-2012
60,79;03.08.2011;Q4-2012
60,65;04.08.2011;Q4-2012
60,12;05.08.2011;Q4-2012
59,88;08.08.2011;Q4-2012
60,07;09.08.2011;Q4-2012
60,51;10.08.2011;Q4-2012
60,85;11.08.2011;Q4-2012
61,18;12.08.2011;Q4-2012
61,05;15.08.2011;Q4-2012
60,73;16.08.2011;Q4-2012
61,68;17.08.2011;Q4-2012
60,89;18.08.2011;Q4-2012
60,95;19.08.2011;Q4-2012
61,24;22.08.2011;Q4-2012
61,04;23.08.2011;Q4-2012
61,58;24.08.2011;Q4-2012
61,62;25.08.2011;Q4-2012
61,46;26.08.2011;Q4-2012
62,25;29.08.2011;Q4-2012
62,58;30.08.2011;Q4-2012
62,43;31.08.2011;Q4-2012
62,7;01.09.2011;Q4-2012
62,56;02.09.2011;Q4-2012
61,54;05.09.2011;Q4-2012
61,57;06.09.2011;Q4-2012
62,14;07.09.2011;Q4-2012
62,67;08.09.2011;Q4-2012
62,17;09.09.2011;Q4-2012
61,81;12.09.2011;Q4-2012
61,95;13.09.2011;Q4-2012
61,77;14.09.2011;Q4-2012
61,57;15.09.2011;Q4-2012
61,79;16.09.2011;Q4-2012
61,71;19.09.2011;Q4-2012
61,41;20.09.2011;Q4-2012
61,57;21.09.2011;Q4-2012
60,77;22.09.2011;Q4-2012
60,39;23.09.2011;Q4-2012
60,03;26.09.2011;Q4-2012
60,59;27.09.2011;Q4-2012
60,6;28.09.2011;Q1-2013
60,89;29.09.2011;Q1-2013
60,6;30.09.2011;Q1-2013
60,6;03.10.2011;Q1-2013
59,4;04.10.2011;Q1-2013
60,05;05.10.2011;Q1-2013
60,25;06.10.2011;Q1-2013
60,25;07.10.2011;Q1-2013
60,25;10.10.2011;Q1-2013
60;11.10.2011;Q1-2013
60,35;12.10.2011;Q1-2013
59,93;13.10.2011;Q1-2013
59,99;14.10.2011;Q1-2013
59,85;17.10.2011;Q1-2013
58,75;18.10.2011;Q1-2013
58,7;19.10.2011;Q1-2013
58,11;20.10.2011;Q1-2013
58,7;21.10.2011;Q1-2013
58,7;24.10.2011;Q1-2013
58,23;25.10.2011;Q1-2013
58,7;26.10.2011;Q1-2013
58,7;27.10.2011;Q1-2013
58,7;28.10.2011;Q1-2013
58,7;31.10.2011;Q1-2013
58,25;01.11.2011;Q1-2013
58,05;02.11.2011;Q1-2013
58,29;03.11.2011;Q1-2013
58,67;04.11.2011;Q1-2013
59,75;07.11.2011;Q1-2013
60,37;08.11.2011;Q1-2013
59,57;09.11.2011;Q1-2013
59,75;10.11.2011;Q1-2013
59,92;11.11.2011;Q1-2013
59,83;14.11.2011;Q1-2013
59,56;15.11.2011;Q1-2013
59,39;16.11.2011;Q1-2013
59,28;17.11.2011;Q1-2013
59;18.11.2011;Q1-2013
58,4;21.11.2011;Q1-2013
58,48;22.11.2011;Q1-2013
58;23.11.2011;Q1-2013
57,5;24.11.2011;Q1-2013
57;25.11.2011;Q1-2013
57,6;28.11.2011;Q1-2013
57,25;29.11.2011;Q1-2013
57,44;30.11.2011;Q1-2013
57,25;01.12.2011;Q1-2013
57,25;02.12.2011;Q1-2013
57;05.12.2011;Q1-2013
56,75;06.12.2011;Q1-2013
57,05;07.12.2011;Q1-2013
56,79;08.12.2011;Q1-2013
57,05;09.12.2011;Q1-2013
