Settlement;Date;ContractName
68,08;03.01.2011;Cal-2014
66,35;04.01.2011;Cal-2014
66,23;05.01.2011;Cal-2014
66,67;06.01.2011;Cal-2014
67,18;07.01.2011;Cal-2014
67,12;10.01.2011;Cal-2014
67,42;11.01.2011;Cal-2014
67,53;12.01.2011;Cal-2014
67,5;13.01.2011;Cal-2014
67,16;14.01.2011;Cal-2014
66,85;17.01.2011;Cal-2014
66,23;18.01.2011;Cal-2014
65,98;19.01.2011;Cal-2014
65,62;20.01.2011;Cal-2014
65,7;21.01.2011;Cal-2014
65,55;24.01.2011;Cal-2014
65,2;25.01.2011;Cal-2014
65,43;26.01.2011;Cal-2014
65,3;27.01.2011;Cal-2014
65,28;28.01.2011;Cal-2014
65,25;31.01.2011;Cal-2014
65,55;01.02.2011;Cal-2014
65,78;02.02.2011;Cal-2014
66,28;03.02.2011;Cal-2014
66,05;04.02.2011;Cal-2014
65,65;07.02.2011;Cal-2014
65,48;08.02.2011;Cal-2014
65,35;09.02.2011;Cal-2014
65,44;10.02.2011;Cal-2014
65,69;11.02.2011;Cal-2014
65,57;14.02.2011;Cal-2014
65,93;15.02.2011;Cal-2014
65,95;16.02.2011;Cal-2014
65,85;17.02.2011;Cal-2014
66;18.02.2011;Cal-2014
66,93;21.02.2011;Cal-2014
67,23;22.02.2011;Cal-2014
68,06;23.02.2011;Cal-2014
67,98;24.02.2011;Cal-2014
68,2;25.02.2011;Cal-2014
67,98;28.02.2011;Cal-2014
67,48;01.03.2011;Cal-2014
67,5;02.03.2011;Cal-2014
67,6;03.03.2011;Cal-2014
67,45;04.03.2011;Cal-2014
67,5;07.03.2011;Cal-2014
67,33;08.03.2011;Cal-2014
66,75;09.03.2011;Cal-2014
66,6;10.03.2011;Cal-2014
66,28;11.03.2011;Cal-2014
67,6;14.03.2011;Cal-2014
73,35;15.03.2011;Cal-2014
75;16.03.2011;Cal-2014
73,6;17.03.2011;Cal-2014
73,3;18.03.2011;Cal-2014
73,5;21.03.2011;Cal-2014
73,18;22.03.2011;Cal-2014
73,38;23.03.2011;Cal-2014
72,64;24.03.2011;Cal-2014
73,18;25.03.2011;Cal-2014
74,6;28.03.2011;Cal-2014
73,98;29.03.2011;Cal-2014
73,85;30.03.2011;Cal-2014
75,08;31.03.2011;Cal-2014
75,75;01.04.2011;Cal-2014
76,1;04.04.2011;Cal-2014
75,6;05.04.2011;Cal-2014
75,5;06.04.2011;Cal-2014
75,15;07.04.2011;Cal-2014
75,2;08.04.2011;Cal-2014
74,35;11.04.2011;Cal-2014
73,98;12.04.2011;Cal-2014
73,23;13.04.2011;Cal-2014
73,85;14.04.2011;Cal-2014
73,48;15.04.2011;Cal-2014
73,98;18.04.2011;Cal-2014
72,73;19.04.2011;Cal-2014
72,98;20.04.2011;Cal-2014
72,69;21.04.2011;Cal-2014
72,63;26.04.2011;Cal-2014
73;27.04.2011;Cal-2014
72,83;28.04.2011;Cal-2014
72,83;29.04.2011;Cal-2014
72,98;02.05.2011;Cal-2014
72,85;03.05.2011;Cal-2014
73,15;04.05.2011;Cal-2014
72,82;05.05.2011;Cal-2014
72,1;06.05.2011;Cal-2014
72,98;09.05.2011;Cal-2014
72,73;10.05.2011;Cal-2014
72,85;11.05.2011;Cal-2014
72,7;12.05.2011;Cal-2014
73;13.05.2011;Cal-2014
72,88;16.05.2011;Cal-2014
72,5;17.05.2011;Cal-2014
72,23;18.05.2011;Cal-2014
72,3;19.05.2011;Cal-2014
72,18;20.05.2011;Cal-2014
71,75;23.05.2011;Cal-2014
71,9;24.05.2011;Cal-2014
71,98;25.05.2011;Cal-2014
72,25;26.05.2011;Cal-2014
72,6;27.05.2011;Cal-2014
74,05;30.05.2011;Cal-2014
73,5;31.05.2011;Cal-2014
73,5;01.06.2011;Cal-2014
73,5;02.06.2011;Cal-2014
73,55;03.06.2011;Cal-2014
73,65;06.06.2011;Cal-2014
73,7;07.06.2011;Cal-2014
73,22;08.06.2011;Cal-2014
73,27;09.06.2011;Cal-2014
73,48;10.06.2011;Cal-2014
73,53;14.06.2011;Cal-2014
73,5;15.06.2011;Cal-2014
72,9;16.06.2011;Cal-2014
72,9;17.06.2011;Cal-2014
72,65;20.06.2011;Cal-2014
71,88;21.06.2011;Cal-2014
71,93;22.06.2011;Cal-2014
71;23.06.2011;Cal-2014
71,3;24.06.2011;Cal-2014
71,35;27.06.2011;Cal-2014
71,75;28.06.2011;Cal-2014
71,7;29.06.2011;Cal-2014
71,7;30.06.2011;Cal-2014
71,83;01.07.2011;Cal-2014
71,93;04.07.2011;Cal-2014
72,63;05.07.2011;Cal-2014
72,4;06.07.2011;Cal-2014
72,9;07.07.2011;Cal-2014
72,83;08.07.2011;Cal-2014
72,25;11.07.2011;Cal-2014
72,05;12.07.2011;Cal-2014
72,05;13.07.2011;Cal-2014
71,95;14.07.2011;Cal-2014
72,05;15.07.2011;Cal-2014
71,54;18.07.2011;Cal-2014
71,53;19.07.2011;Cal-2014
71,8;20.07.2011;Cal-2014
72;21.07.2011;Cal-2014
71,85;22.07.2011;Cal-2014
72,1;25.07.2011;Cal-2014
71,73;26.07.2011;Cal-2014
71,7;27.07.2011;Cal-2014
71,93;28.07.2011;Cal-2014
71,65;29.07.2011;Cal-2014
71,78;01.08.2011;Cal-2014
71,68;02.08.2011;Cal-2014
71,08;03.08.2011;Cal-2014
70,9;04.08.2011;Cal-2014
70,57;05.08.2011;Cal-2014
70,45;08.08.2011;Cal-2014
70,3;09.08.2011;Cal-2014
70,65;10.08.2011;Cal-2014
70,73;11.08.2011;Cal-2014
70,85;12.08.2011;Cal-2014
70,65;15.08.2011;Cal-2014
70,43;16.08.2011;Cal-2014
70,75;17.08.2011;Cal-2014
70,38;18.08.2011;Cal-2014
70,2;19.08.2011;Cal-2014
70,35;22.08.2011;Cal-2014
70,05;23.08.2011;Cal-2014
70,5;24.08.2011;Cal-2014
70,18;25.08.2011;Cal-2014
70,15;26.08.2011;Cal-2014
70,65;29.08.2011;Cal-2014
70,35;30.08.2011;Cal-2014
70,53;31.08.2011;Cal-2014
70,43;01.09.2011;Cal-2014
70,35;02.09.2011;Cal-2014
69,98;05.09.2011;Cal-2014
70,1;06.09.2011;Cal-2014
70,05;07.09.2011;Cal-2014
70,13;08.09.2011;Cal-2014
70,03;09.09.2011;Cal-2014
69,88;12.09.2011;Cal-2014
69,78;13.09.2011;Cal-2014
69,68;14.09.2011;Cal-2014
69,68;15.09.2011;Cal-2014
69,8;16.09.2011;Cal-2014
69,5;19.09.2011;Cal-2014
69,14;20.09.2011;Cal-2014
69,2;21.09.2011;Cal-2014
68,8;22.09.2011;Cal-2014
68,45;23.09.2011;Cal-2014
68,55;26.09.2011;Cal-2014
68,68;27.09.2011;Cal-2014
68,5;28.09.2011;Cal-2014
68,65;29.09.2011;Cal-2014
68,35;30.09.2011;Cal-2014
68,35;03.10.2011;Cal-2014
67,88;04.10.2011;Cal-2014
67,85;05.10.2011;Cal-2014
67,98;06.10.2011;Cal-2014
68;07.10.2011;Cal-2014
68,25;10.10.2011;Cal-2014
67,95;11.10.2011;Cal-2014
67,93;12.10.2011;Cal-2014
67,5;13.10.2011;Cal-2014
67,55;14.10.2011;Cal-2014
67,28;17.10.2011;Cal-2014
66,7;18.10.2011;Cal-2014
66,48;19.10.2011;Cal-2014
66,25;20.10.2011;Cal-2014
66,55;21.10.2011;Cal-2014
66,66;24.10.2011;Cal-2014
66,5;25.10.2011;Cal-2014
66,35;26.10.2011;Cal-2014
67;27.10.2011;Cal-2014
66,88;28.10.2011;Cal-2014
66,48;31.10.2011;Cal-2014
66,15;01.11.2011;Cal-2014
65,8;02.11.2011;Cal-2014
66,25;03.11.2011;Cal-2014
66,1;04.11.2011;Cal-2014
67,1;07.11.2011;Cal-2014
67,15;08.11.2011;Cal-2014
66,68;09.11.2011;Cal-2014
66,78;10.11.2011;Cal-2014
66,95;11.11.2011;Cal-2014
66,73;14.11.2011;Cal-2014
66,55;15.11.2011;Cal-2014
66,58;16.11.2011;Cal-2014
66,4;17.11.2011;Cal-2014
66,3;18.11.2011;Cal-2014
65,98;21.11.2011;Cal-2014
66;22.11.2011;Cal-2014
65,68;23.11.2011;Cal-2014
65,48;24.11.2011;Cal-2014
65,15;25.11.2011;Cal-2014
65,43;28.11.2011;Cal-2014
65,05;29.11.2011;Cal-2014
64,94;30.11.2011;Cal-2014
64,93;01.12.2011;Cal-2014
65,03;02.12.2011;Cal-2014
64,98;05.12.2011;Cal-2014
64,33;06.12.2011;Cal-2014
64,45;07.12.2011;Cal-2014
65,1;08.12.2011;Cal-2014
65;09.12.2011;Cal-2014
65,2;12.12.2011;Cal-2014
65,48;13.12.2011;Cal-2014
65;14.12.2011;Cal-2014
65,08;15.12.2011;Cal-2014
64,98;16.12.2011;Cal-2014
64,85;19.12.2011;Cal-2014
65,35;20.12.2011;Cal-2014
65,28;21.12.2011;Cal-2014
65,53;22.12.2011;Cal-2014
65,65;23.12.2011;Cal-2014
65,62;27.12.2011;Cal-2014
66,75;28.12.2011;Cal-2015
66,42;29.12.2011;Cal-2015
66,45;30.12.2011;Cal-2015
65,8;02.01.2012;Cal-2015
65,05;03.01.2012;Cal-2015
65,28;04.01.2012;Cal-2015
65,6;05.01.2012;Cal-2015
65,53;06.01.2012;Cal-2015
65,65;09.01.2012;Cal-2015
65,43;10.01.2012;Cal-2015
65,28;11.01.2012;Cal-2015
65,18;12.01.2012;Cal-2015
64,88;13.01.2012;Cal-2015
64,05;16.01.2012;Cal-2015
64,05;17.01.2012;Cal-2015
64,28;18.01.2012;Cal-2015
64,43;19.01.2012;Cal-2015
64,73;20.01.2012;Cal-2015
64,73;23.01.2012;Cal-2015
64,45;24.01.2012;Cal-2015
64,3;25.01.2012;Cal-2015
64,77;26.01.2012;Cal-2015
64,93;27.01.2012;Cal-2015
65,35;30.01.2012;Cal-2015
65,63;31.01.2012;Cal-2015
65,54;01.02.2012;Cal-2015
65,72;02.02.2012;Cal-2015
66,05;03.02.2012;Cal-2015
66,08;06.02.2012;Cal-2015
