Peak (09-20);Date
42,665;19.06.2019
36,7075;20.06.2019
38,5875;21.06.2019
31,5792;22.06.2019
15,4342;23.06.2019
36,0692;24.06.2019
42,7517;25.06.2019
39,0742;26.06.2019
36,325;27.06.2019
43,4825;28.06.2019
30,6092;29.06.2019
7,7458;30.06.2019
33,2275;01.07.2019
34,5758;02.07.2019
34,6342;03.07.2019
33,2592;04.07.2019
35,4808;05.07.2019
28,6292;06.07.2019
22,3533;07.07.2019
37,2592;08.07.2019
38,4458;09.07.2019
42,6533;10.07.2019
50,51;11.07.2019
47,4108;12.07.2019
36,6908;13.07.2019
35,4258;14.07.2019
42,8917;15.07.2019
44,8117;16.07.2019
47,1942;17.07.2019
44,595;18.07.2019
45,9033;19.07.2019
34,9375;20.07.2019
34,1892;21.07.2019
44,0733;22.07.2019
48,9067;23.07.2019
55,4217;24.07.2019
53,7117;25.07.2019
51,3725;26.07.2019
37,315;27.07.2019
32,1125;28.07.2019
50,6458;29.07.2019
44,8575;30.07.2019
52,0025;31.07.2019
44,5908;01.08.2019
45,015;02.08.2019
35,1258;03.08.2019
31,5992;04.08.2019
50,9408;05.08.2019
42,8142;06.08.2019
43,8417;07.08.2019
33,6375;08.08.2019
40,0658;09.08.2019
30,8983;10.08.2019
18,805;11.08.2019
43,4117;12.08.2019
36,4033;13.08.2019
37,9783;14.08.2019
31,5208;15.08.2019
37,2342;16.08.2019
27,3292;17.08.2019
24,5233;18.08.2019
36,2575;19.08.2019
42,4592;20.08.2019
41,58;21.08.2019
37,275;22.08.2019
37,45;23.08.2019
31,8492;24.08.2019
29,76;25.08.2019
48,0583;26.08.2019
50,6;27.08.2019
55,3192;28.08.2019
47,3692;29.08.2019
41,6717;30.08.2019
32,7033;31.08.2019
30,1592;01.09.2019
43,0217;02.09.2019
37,2483;03.09.2019
34,6092;04.09.2019
37,1342;05.09.2019
33,8475;06.09.2019
37,4883;07.09.2019
36,7883;08.09.2019
49,2767;09.09.2019
37,2675;10.09.2019
34,275;11.09.2019
40,7875;12.09.2019
42,1092;13.09.2019
35,7008;14.09.2019
33,9258;15.09.2019
53,06;16.09.2019
46,8575;17.09.2019
43,335;18.09.2019
46,8325;19.09.2019
50,8733;20.09.2019
37,6542;21.09.2019
29,145;22.09.2019
52,7867;23.09.2019
53,0183;24.09.2019
54,4183;25.09.2019
48,1517;26.09.2019
46,1583;27.09.2019
31,1808;28.09.2019
17,7308;29.09.2019
45,9183;30.09.2019
45,9317;01.10.2019
44,6033;02.10.2019
45,3867;03.10.2019
49,4392;04.10.2019
40,5217;05.10.2019
33,0533;06.10.2019
52,7058;07.10.2019
43,2;08.10.2019
43,0792;09.10.2019
35,2475;10.10.2019
35,1925;11.10.2019
32,5717;12.10.2019
22,6167;13.10.2019
47,1633;14.10.2019
52,0458;15.10.2019
44,2825;16.10.2019
51,4433;17.10.2019
41,2292;18.10.2019
36,9858;19.10.2019
37,9508;20.10.2019
51,6308;21.10.2019
52,7458;22.10.2019
50,2975;23.10.2019
44,3017;24.10.2019
42,3225;25.10.2019
35,7975;26.10.2019
34,5225;27.10.2019
52,7833;28.10.2019
55,6017;29.10.2019
55,5275;30.10.2019
50,6142;31.10.2019
34,7033;01.11.2019
30,8867;02.11.2019
35,5333;03.11.2019
46,3967;04.11.2019
51,08;05.11.2019
61,8108;06.11.2019
47,7133;07.11.2019
55,1425;08.11.2019
44,13;09.11.2019
43,0825;10.11.2019
49,0758;11.11.2019
54,4533;12.11.2019
58,2358;13.11.2019
53,5342;14.11.2019
50,6358;15.11.2019
42,5825;16.11.2019
41,1317;17.11.2019
53,6825;18.11.2019
60,9967;19.11.2019
62,4125;20.11.2019
58,18;21.11.2019
49,5167;22.11.2019
37,6858;23.11.2019
42,4367;24.11.2019
58,7733;25.11.2019
53,62;26.11.2019
48,1108;27.11.2019
51,9217;28.11.2019
49,4867;29.11.2019
45,4808;30.11.2019
46,5417;01.12.2019
52,3875;02.12.2019
61,5267;03.12.2019
59,62;04.12.2019
52,7433;05.12.2019
50,955;06.12.2019
40,2892;07.12.2019
38,3483;08.12.2019
50,9042;09.12.2019
50,0508;10.12.2019
53,2225;11.12.2019
55,8125;12.12.2019
50,4425;13.12.2019
42,8942;14.12.2019
41,3225;15.12.2019
51,23;16.12.2019
48,9992;17.12.2019
49,1783;18.12.2019
41,2925;19.12.2019
33,1075;20.12.2019
37,025;21.12.2019
36,5067;22.12.2019
36,5533;23.12.2019
33,1542;24.12.2019
29,4117;25.12.2019
36,6025;26.12.2019
42,0217;27.12.2019
37,4192;28.12.2019
33,6742;29.12.2019
37,9508;30.12.2019
40,84;31.12.2019
34,1892;01.01.2020
45,2067;02.01.2020
42,2783;03.01.2020
36,4908;04.01.2020
38,6075;05.01.2020
44,0608;06.01.2020
48,1483;07.01.2020
48,3392;08.01.2020
45,4733;09.01.2020
46,255;10.01.2020
38,4467;11.01.2020
32,12;12.01.2020
46,9175;13.01.2020
44,6675;14.01.2020
44,5875;15.01.2020
45,7267;16.01.2020
43,6592;17.01.2020
42,2742;18.01.2020
40,7908;19.01.2020
50,3192;20.01.2020
52,0292;21.01.2020
53,8217;22.01.2020
59,2083;23.01.2020
58,8667;24.01.2020
44,3592;25.01.2020
38,5475;26.01.2020
46,4067;27.01.2020
44,755;28.01.2020
43,9542;29.01.2020
43,5608;30.01.2020
42,4525;31.01.2020
41,7358;01.02.2020
33,3183;02.02.2020
33,9775;03.02.2020
32,6967;04.02.2020
41,375;05.02.2020
42,0158;06.02.2020
40,2975;07.02.2020
31,67;08.02.2020
33,7692;09.02.2020
37,0658;10.02.2020
28,2967;11.02.2020
27,175;12.02.2020
41,7;13.02.2020
42,1058;14.02.2020
28,3658;15.02.2020
14,0033;16.02.2020
36,1008;17.02.2020
34,9642;18.02.2020
37,55;19.02.2020
33,9092;20.02.2020
32,7742;21.02.2020
28,4767;22.02.2020
16,8258;23.02.2020
40,3608;24.02.2020
36,6075;25.02.2020
34,4983;26.02.2020
44,9858;27.02.2020
34,0742;28.02.2020
24,0367;29.02.2020
24,6958;01.03.2020
38,8375;02.03.2020
42,0217;03.03.2020
