Base;Date
41,5379;18.06.2019
40,7038;19.06.2019
36,1692;20.06.2019
38,2104;21.06.2019
31,6171;22.06.2019
21,1538;23.06.2019
34,1575;24.06.2019
39,6221;25.06.2019
38,2746;26.06.2019
35,2929;27.06.2019
42,3788;28.06.2019
32,9567;29.06.2019
16,4408;30.06.2019
32,9825;01.07.2019
34,0071;02.07.2019
34,6088;03.07.2019
33,9833;04.07.2019
35,1421;05.07.2019
29,8371;06.07.2019
24,9154;07.07.2019
35,6921;08.07.2019
37,2771;09.07.2019
41,4471;10.07.2019
45,8888;11.07.2019
45,2442;12.07.2019
37,2438;13.07.2019
35,6146;14.07.2019
41,5471;15.07.2019
42,8958;16.07.2019
45,8458;17.07.2019
44,2292;18.07.2019
45,0479;19.07.2019
35,9163;20.07.2019
34,7975;21.07.2019
43,2575;22.07.2019
47,2333;23.07.2019
51,4842;24.07.2019
50,3204;25.07.2019
46,9888;26.07.2019
36,77;27.07.2019
32,0858;28.07.2019
46,1492;29.07.2019
43,3779;30.07.2019
49,7317;31.07.2019
44,6325;01.08.2019
44,0196;02.08.2019
36,5317;03.08.2019
34,99;04.08.2019
47,1308;05.08.2019
42,0896;06.08.2019
41,3942;07.08.2019
34,8008;08.08.2019
38,8879;09.08.2019
29,4579;10.08.2019
21,7496;11.08.2019
41,0617;12.08.2019
37,6204;13.08.2019
37,6017;14.08.2019
30,6508;15.08.2019
35,3883;16.08.2019
26,3654;17.08.2019
28,0529;18.08.2019
35,9571;19.08.2019
39,8071;20.08.2019
41,435;21.08.2019
36,7413;22.08.2019
37,0121;23.08.2019
32,4588;24.08.2019
30,6358;25.08.2019
45,6667;26.08.2019
46,4229;27.08.2019
50,8333;28.08.2019
44,4967;29.08.2019
41,3908;30.08.2019
33,6713;31.08.2019
30,1063;01.09.2019
39,0408;02.09.2019
35,8296;03.09.2019
34,0846;04.09.2019
34,2029;05.09.2019
32,5604;06.09.2019
35,6371;07.09.2019
36,6954;08.09.2019
45,0204;09.09.2019
36,7692;10.09.2019
34,0629;11.09.2019
37,7183;12.09.2019
38,9654;13.09.2019
36,1583;14.09.2019
32,1538;15.09.2019
47,1913;16.09.2019
42,3954;17.09.2019
39,9783;18.09.2019
44,7829;19.09.2019
46,13;20.09.2019
36,3979;21.09.2019
29,6408;22.09.2019
44,8767;23.09.2019
48,1983;24.09.2019
48,29;25.09.2019
42,8871;26.09.2019
40,5613;27.09.2019
29,1892;28.09.2019
19,9342;29.09.2019
41,6408;30.09.2019
42,6029;01.10.2019
41,7367;02.10.2019
40,3946;03.10.2019
44,0392;04.10.2019
37,2075;05.10.2019
32,0471;06.10.2019
44,9521;07.10.2019
37,5933;08.10.2019
36,8192;09.10.2019
31,7367;10.10.2019
30,0233;11.10.2019
28,8417;12.10.2019
23,5413;13.10.2019
38,2938;14.10.2019
43,6963;15.10.2019
40,1717;16.10.2019
44,0929;17.10.2019
37,8842;18.10.2019
33,3504;19.10.2019
34,8296;20.10.2019
44,0321;21.10.2019
47,0125;22.10.2019
43,8217;23.10.2019
38,8538;24.10.2019
37,1313;25.10.2019
34,7408;26.10.2019
32,6612;27.10.2019
44,4879;28.10.2019
48,3438;29.10.2019
48,7179;30.10.2019
44,9217;31.10.2019
32,3371;01.11.2019
28,0388;02.11.2019
26,6767;03.11.2019
38,8017;04.11.2019
42,7021;05.11.2019
51,7908;06.11.2019
42,9404;07.11.2019
47,2279;08.11.2019
41,6925;09.11.2019
40,9846;10.11.2019
43,6817;11.11.2019
46,9813;12.11.2019
49,3721;13.11.2019
47,6242;14.11.2019
43,9017;15.11.2019
40,0275;16.11.2019
37,8221;17.11.2019
44,7058;18.11.2019
50,4479;19.11.2019
53,3625;20.11.2019
50,2133;21.11.2019
44,1308;22.11.2019
33,5396;23.11.2019
35,3742;24.11.2019
51,1525;25.11.2019
47,3654;26.11.2019
42,7138;27.11.2019
41,6671;28.11.2019
42,8504;29.11.2019
42,1433;30.11.2019
42,6025;01.12.2019
47,23;02.12.2019
53,8704;03.12.2019
52,3004;04.12.2019
47,3421;05.12.2019
43,3075;06.12.2019
36,8325;07.12.2019
35,3729;08.12.2019
45,2846;09.12.2019
44,7754;10.12.2019
46,9163;11.12.2019
49,2004;12.12.2019
44,2758;13.12.2019
35,9646;14.12.2019
33,4;15.12.2019
44,5863;16.12.2019
42,7054;17.12.2019
41,8588;18.12.2019
36,03;19.12.2019
30,0438;20.12.2019
28,5971;21.12.2019
26,8608;22.12.2019
25,0792;23.12.2019
21,3654;24.12.2019
25,3867;25.12.2019
32,2579;26.12.2019
37,5071;27.12.2019
34,1813;28.12.2019
30,5329;29.12.2019
