Settlement;Date;ContractName
55,74;03.01.2011;Q1-2012
55,41;04.01.2011;Q1-2012
54,95;05.01.2011;Q1-2012
56,07;06.01.2011;Q1-2012
56,62;07.01.2011;Q1-2012
56,34;10.01.2011;Q1-2012
56,95;11.01.2011;Q1-2012
56,91;12.01.2011;Q1-2012
56,29;13.01.2011;Q1-2012
55,59;14.01.2011;Q1-2012
55,37;17.01.2011;Q1-2012
54,89;18.01.2011;Q1-2012
54,78;19.01.2011;Q1-2012
54,44;20.01.2011;Q1-2012
54,18;21.01.2011;Q1-2012
54,2;24.01.2011;Q1-2012
53,82;25.01.2011;Q1-2012
54,17;26.01.2011;Q1-2012
54,19;27.01.2011;Q1-2012
53,94;28.01.2011;Q1-2012
54,25;31.01.2011;Q1-2012
54,58;01.02.2011;Q1-2012
55,09;02.02.2011;Q1-2012
55,53;03.02.2011;Q1-2012
55,11;04.02.2011;Q1-2012
54,47;07.02.2011;Q1-2012
54;08.02.2011;Q1-2012
53,91;09.02.2011;Q1-2012
54,28;10.02.2011;Q1-2012
54,8;11.02.2011;Q1-2012
54,42;14.02.2011;Q1-2012
54,4;15.02.2011;Q1-2012
54,44;16.02.2011;Q1-2012
54,89;17.02.2011;Q1-2012
54,97;18.02.2011;Q1-2012
56,06;21.02.2011;Q1-2012
56,25;22.02.2011;Q1-2012
56,21;23.02.2011;Q1-2012
56,2;24.02.2011;Q1-2012
56,18;25.02.2011;Q1-2012
56,41;28.02.2011;Q1-2012
55,99;01.03.2011;Q1-2012
56,09;02.03.2011;Q1-2012
56,33;03.03.2011;Q1-2012
56,76;04.03.2011;Q1-2012
57,87;07.03.2011;Q1-2012
57,03;08.03.2011;Q1-2012
57,36;09.03.2011;Q1-2012
57,1;10.03.2011;Q1-2012
57,07;11.03.2011;Q1-2012
59,72;14.03.2011;Q1-2012
63,81;15.03.2011;Q1-2012
64,51;16.03.2011;Q1-2012
63,55;17.03.2011;Q1-2012
63,05;18.03.2011;Q1-2012
62,37;21.03.2011;Q1-2012
62,93;22.03.2011;Q1-2012
63,8;23.03.2011;Q1-2012
63,39;24.03.2011;Q1-2012
63,69;25.03.2011;Q1-2012
64,9;28.03.2011;Q1-2012
54,62;29.03.2011;Q2-2012
53,85;30.03.2011;Q2-2012
54,39;31.03.2011;Q2-2012
55,15;01.04.2011;Q2-2012
55,55;04.04.2011;Q2-2012
55,13;05.04.2011;Q2-2012
55,15;06.04.2011;Q2-2012
54,23;07.04.2011;Q2-2012
54,68;08.04.2011;Q2-2012
54;11.04.2011;Q2-2012
53,47;12.04.2011;Q2-2012
52,89;13.04.2011;Q2-2012
53,2;14.04.2011;Q2-2012
53,74;15.04.2011;Q2-2012
53,71;18.04.2011;Q2-2012
52,85;19.04.2011;Q2-2012
53,22;20.04.2011;Q2-2012
53,52;21.04.2011;Q2-2012
52,9;26.04.2011;Q2-2012
53,39;27.04.2011;Q2-2012
54,02;28.04.2011;Q2-2012
54,25;29.04.2011;Q2-2012
54,72;02.05.2011;Q2-2012
54,3;03.05.2011;Q2-2012
54,07;04.05.2011;Q2-2012
53,32;05.05.2011;Q2-2012
52,88;06.05.2011;Q2-2012
53,28;09.05.2011;Q2-2012
53,65;10.05.2011;Q2-2012
53,69;11.05.2011;Q2-2012
53,47;12.05.2011;Q2-2012
54,07;13.05.2011;Q2-2012
53,82;16.05.2011;Q2-2012
53,4;17.05.2011;Q2-2012
53,32;18.05.2011;Q2-2012
53,52;19.05.2011;Q2-2012
53,26;20.05.2011;Q2-2012
52,96;23.05.2011;Q2-2012
53,21;24.05.2011;Q2-2012
53,1;25.05.2011;Q2-2012
53,46;26.05.2011;Q2-2012
54,24;27.05.2011;Q2-2012
55,44;30.05.2011;Q2-2012
54,89;31.05.2011;Q2-2012
54,61;01.06.2011;Q2-2012
54,61;02.06.2011;Q2-2012
54,07;03.06.2011;Q2-2012
54,08;06.06.2011;Q2-2012
54,43;07.06.2011;Q2-2012
54,18;08.06.2011;Q2-2012
54,29;09.06.2011;Q2-2012
54,52;10.06.2011;Q2-2012
54,96;14.06.2011;Q2-2012
